week,Barisal,Chittagong,Dhaka,Khulna,Mymensingh,Rajshani,Rangpur,Sylhet
1,67,129,244,26,20,32,0,4
2,41,46,130,10,9,17,0,2
3,30,38,59,12,5,3,0,1
4,16,44,59,12,12,10,0,0
5,12,28,48,5,6,2,0,0
6,18,23,40,10,5,0,0,0
7,34,29,35,15,5,8,0,0
8,18,25,33,3,0,1,0,0
9,8,25,33,4,0,2,0,0
10,16,18,25,5,2,1,0,1
11,10,13,34,2,3,3,0,1
12,4,20,29,0,2,0,0,1
13,56,21,58,13,4,5,0,1
14,48,23,41,7,7,18,0,4
15,41,29,47,9,1,0,22,7
16,62,29,53,4,1,6,3,3
17,32,41,37,8,3,3,1,0
18,57,43,39,13,0,0,1,0
19,74,31,54,16,4,3,1,0
20,54,46,76,15,7,6,0,7
21,25,41,44,9,0,5,1,1
22,146,60,86,113,13,11,0,2
23,204,66,100,73,6,7,0,6
24,167,87,192,106,23,27,0,12
25,274,108,383,131,18,26,1,7
26,248,153,344,143,41,38,2,0
27,331,226,475,247,42,43,0,12
28,367,318,843,305,111,47,40,8
29,440,431,1026,320,150,88,165,8
30,478,550,1248,346,143,172,93,11
31,359,486,1312,419,178,130,96,12
32,721,784,2711,930,341,411,254,22
33,412,477,1165,630,228,250,66,15
34,710,713,2143,1082,371,329,134,14
35,796,976,3061,1444,496,526,125,22
36,937,1214,3870,1609,531,685,346,52
37,1151,1280,4112,1807,578,723,411,41
